match_id,event_id,map,round_number,round_score,winner,side,win_type
378667,2097,Ascent,9,5-4,team1,defense,Time out
378667,2097,Ascent,10,6-4,team1,defense,Defused
378667,2097,Ascent,11,7-4,team1,defense,Time out
378667,2097,Ascent,12,8-4,team1,defense,Elimination
378667,2097,Ascent,13,9-4,team1,attack,Elimination
378667,2097,Ascent,14,9-5,team2,defense,Elimination
378667,2097,Ascent,15,9-6,team2,defense,Elimination
378667,2097,Ascent,16,9-7,team2,defense,Defused
378667,2097,Ascent,17,9-8,team2,defense,Defused
378667,2097,Ascent,18,10-8,team1,attack,Elimination
378667,2097,Ascent,19,11-8,team1,attack,Elimination
378667,2097,Ascent,20,12-8,team1,attack,Elimination
378667,2097,Ascent,21,13-8,team1,attack,Elimination
378660,2097,Sunset,1,0-1,team2,attack,Elimination
378660,2097,Sunset,2,0-2,team2,attack,Spike exploded
378660,2097,Sunset,3,0-3,team2,attack,Spike exploded
378660,2097,Sunset,4,0-4,team2,attack,Elimination
378660,2097,Sunset,5,1-4,team1,defense,Time out
378660,2097,Sunset,6,1-5,team2,attack,Elimination
378660,2097,Sunset,7,1-6,team2,attack,Elimination
378660,2097,Sunset,8,2-6,team1,defense,Elimination
378660,2097,Sunset,9,2-7,team2,attack,Elimination
378660,2097,Sunset,10,3-7,team1,defense,Defused
378660,2097,Sunset,11,4-7,team1,defense,Elimination
378660,2097,Sunset,12,4-8,team2,attack,Elimination
378660,2097,Sunset,13,4-9,team2,defense,Time out
378660,2097,Sunset,14,4-10,team2,defense,Elimination
378660,2097,Sunset,15,4-11,team2,defense,Elimination
378660,2097,Sunset,16,5-11,team1,attack,Spike exploded
378660,2097,Sunset,17,6-11,team1,attack,Spike exploded
378660,2097,Sunset,18,7-11,team1,attack,Spike exploded
378660,2097,Sunset,19,8-11,team1,attack,Elimination
378660,2097,Sunset,20,9-11,team1,attack,Elimination
378660,2097,Sunset,21,10-11,team1,attack,Elimination
378660,2097,Sunset,22,10-12,team2,defense,Defused
378660,2097,Sunset,23,11-12,team1,attack,Elimination
378660,2097,Sunset,24,11-13,team2,defense,Elimination
378660,2097,Haven,1,1-0,team1,defense,Defused
378660,2097,Haven,2,2-0,team1,defense,Elimination
378660,2097,Haven,3,2-1,team2,attack,Elimination
378660,2097,Haven,4,2-2,team2,attack,Elimination
378660,2097,Haven,5,2-3,team2,attack,Spike exploded
378660,2097,Haven,6,2-4,team2,attack,Spike exploded
378660,2097,Haven,7,2-5,team2,attack,Spike exploded
378660,2097,Haven,8,2-6,team2,attack,Spike exploded
378660,2097,Haven,9,3-6,team1,defense,Time out
378660,2097,Haven,10,4-6,team1,defense,Defused
378660,2097,Haven,11,5-6,team1,defense,Elimination
378660,2097,Haven,12,6-6,team1,defense,Elimination
378660,2097,Haven,13,7-6,team1,attack,Spike exploded
378660,2097,Haven,14,8-6,team1,attack,Spike exploded
378660,2097,Haven,15,8-7,team2,defense,Defused
378660,2097,Haven,16,9-7,team1,attack,Spike exploded
378660,2097,Haven,17,10-7,team1,attack,Elimination
378660,2097,Haven,18,11-7,team1,attack,Elimination
378660,2097,Haven,19,12-7,team1,attack,Spike exploded
378660,2097,Haven,20,12-8,team2,defense,Defused
378660,2097,Haven,21,12-9,team2,defense,Elimination
378660,2097,Haven,22,13-9,team1,attack,Elimination
378660,2097,Lotus,1,1-0,team1,defense,Elimination
